country,Time,Happiness_score
Greece,2012,5.096354008
Greece,2013,4.720251083
Greece,2014,4.75623703
Greece,2015,5.622519016
Greece,2016,5.302619457
Greece,2017,5.14824152
Greece,2018,5.40928936
Greece,2019,5.952157497
Guatemala,2010,6.289748669
Guatemala,2011,5.743353844
Guatemala,2012,5.855717182
Guatemala,2013,5.984601498
Guatemala,2014,6.536030769
Guatemala,2015,6.464986801
Guatemala,2016,6.358916283
Guatemala,2017,6.325118542
Guatemala,2018,6.626591682
Guatemala,2019,6.262175083
Honduras,2010,5.866131306
Honduras,2011,4.961031437
Honduras,2012,4.602218151
Honduras,2013,4.713358402
Honduras,2014,5.055726051
Honduras,2015,4.845436573
Honduras,2016,5.648154736
Honduras,2017,6.019985676
Honduras,2018,5.908423901
Honduras,2019,5.930051327
India,2010,4.989277363
India,2011,4.634871483
India,2012,4.720146656
India,2013,4.427788734
India,2014,4.424379349
India,2015,4.342079163
India,2016,4.179177284
India,2017,4.046111107
India,2018,3.818068743
India,2019,3.24876976
Indonesia,2010,5.457299232
Indonesia,2011,5.172608376
Indonesia,2012,5.36777401
Indonesia,2013,5.292237759
Indonesia,2014,5.597375393
Indonesia,2015,5.04279995
Indonesia,2016,5.136325359
Indonesia,2017,5.098401546
Indonesia,2018,5.340295792
Indonesia,2019,5.346512794
Ireland,2010,7.257389545
Ireland,2011,7.006904125
Ireland,2012,6.964645386
Ireland,2013,6.760085106
Ireland,2014,7.018379211
Ireland,2015,6.830125332
Ireland,2016,7.04073143
Ireland,2017,7.060155392
Ireland,2018,6.962335587
Ireland,2019,7.254841328
Italy,2010,6.354238033
Italy,2011,6.057086468
Italy,2012,5.839313984
Italy,2013,6.009373665
Italy,2014,6.026585102
Italy,2015,5.847683907
Italy,2016,5.95452404
Italy,2017,6.198870182
Italy,2018,6.516526699
Italy,2019,6.445416927
Japan,2010,6.056752682
Japan,2011,6.262793541
Japan,2012,5.968216419
Japan,2013,5.959361553
Japan,2014,5.922620773
Japan,2015,5.879684448
Japan,2016,5.954650879
Japan,2017,5.910676479
Japan,2018,5.793575287
Japan,2019,5.908039093
Jordan,2010,5.569942474
Jordan,2011,5.539327621
Jordan,2012,5.131996155
Jordan,2013,5.171952724
Jordan,2014,5.333021641
Jordan,2015,5.404593468
Jordan,2016,5.27128458
Jordan,2017,4.808082581
Jordan,2018,4.638933659
Jordan,2019,4.452548027
Kazakhstan,2010,5.514286518
Kazakhstan,2011,5.735662937
Kazakhstan,2012,5.759469509
Kazakhstan,2013,5.835483074
Kazakhstan,2014,5.970097542
Kazakhstan,2015,5.949995041
Kazakhstan,2016,5.533551693
Kazakhstan,2017,5.882351398
Kazakhstan,2018,6.00763607
Kazakhstan,2019,6.272268295
Kenya,2010,4.255859375
Kenya,2011,4.405310154
Kenya,2012,4.547335148
Kenya,2013,3.795383215
Kenya,2014,4.904579639
Kenya,2015,4.357617855
Kenya,2016,4.396127701
Kenya,2017,4.475654125
Kenya,2018,4.655702591
Kenya,2019,4.618850231
Kosovo,2010,5.17660141
Kosovo,2011,4.859501839
Kosovo,2012,5.639588356
Kosovo,2013,6.125758171
Kosovo,2014,5.000375271
Kosovo,2015,5.077460766
Kosovo,2016,5.759412289
Kosovo,2017,6.149199963
Kosovo,2018,6.391825676
Kosovo,2019,6.425144196
Kyrgyzstan,2010,4.996410847
Kyrgyzstan,2011,4.921049118
Kyrgyzstan,2012,5.207785606
Kyrgyzstan,2013,5.40242672
Kyrgyzstan,2014,5.252192974
